english,polish,type,level
officer/ official,funkcjonariusz,rzeczownik,A2
function,funkcjonować,czasownik,B2
pound,funt (waluta lub jednostka wagi),rzeczownik,A1
van,furgonetka,rzeczownik,A2
fur,futro,rzeczownik,B1
study,gabinet,rzeczownik,A1
surgery,gabinet lekarski,rzeczownik,B2
gallery,galeria,rzeczownik,A2
gang,gang,rzeczownik,B2
stare,gapić się,czasownik,B2
garage,garaż,rzeczownik,B1
throat,gardło,rzeczownik,B1
pot,garnek,rzeczownik,B1
suit,garnitur,rzeczownik,A2
species,gatunek (biologiczny),rzeczownik,B2
genre,gatunek (np. literacki,rzeczownik,B2
gas,gaz,rzeczownik,A2
newspaper/ paper,gazeta,rzeczownik,A1
branch,gałąź,rzeczownik,B1
when,gdy,przysłówek / zaimek / spójnik,A1
as,gdy,spójnik,A2
where,gdzie,przysłówek / spójnik,A1
elsewhere,gdzie indziej,przysłówek,B2
anywhere,gdziekolwiek,przysłówek,A2
wherever,gdziekolwiek,spójnik,B2
anywhere,gdziekolwiek,zaimek,A2
somewhere,gdzieś,przysłówek / zaimek,A2
generation,generacja,rzeczownik,B1
generate,generować,czasownik,B2
geography,geografia,rzeczownik,A1
giant,gigant,rzeczownik,B1
giant,gigantyczny,przymiotnik,B1
guitar,gitara,rzeczownik,A1
soil,gleba,rzeczownik,B1
earth,glob,rzeczownik,A2
global,globalny,przymiotnik,B1
anger,gniew,rzeczownik,B2
angry,gniewny,przymiotnik,A1
him,go,zaimek,A1
worth,godny,przymiotnik,B1
hour,godzina,rzeczownik,A1
o'clock,godzina (przy podawaniu czasu),przysłówek,A1
goal,gol,rzeczownik,A2
golf,golf,rzeczownik,A2
worse,gorszy,przymiotnik,A2
worse,gorzej,przysłówek,B1
bitter,gorzki,przymiotnik,B2
heat,gorąco,rzeczownik,A2
hot,gorący,przymiotnik,A1
economic,gospodarczy,przymiotnik,B1
economy,gospodarka,rzeczownik,B1
farm,gospodarstwo,rzeczownik,A1
household,gospodarstwo domowe,rzeczownik,B2
host,gospodarz,rzeczownik,B1
cooking,gotowanie,rzeczownik,A1
boil/ cook,gotować,czasownik,A2
prepared/ ready,gotowy,przymiotnik,B1
cash,gotówka,rzeczownik,A2
entertain/ host,gościć,czasownik,B1
guest/ guy/ visitor,gość,rzeczownik,A2
game/ play,gra,rzeczownik,A1
player,gracz,rzeczownik,A1
border/ divide,granica,rzeczownik,B1
border,graniczyć,czasownik,B2
grant,grant,rzeczownik,B2
stuff,graty,rzeczownik,B1
act/ play,grać,czasownik,A2
star,grać główną rolę,czasownik,A2
gather,gromadzić,czasownik,B1
horror,groza,rzeczownik,B1
threaten,grozić,czasownik,B2
threat,groźba,rzeczownik,B2
rude,grubiański,przymiotnik,A2
fat/ thick,gruby,przymiotnik,A1
December,grudzień,rzeczownik,A1
group,grupa,rzeczownik,A1
flu,grypa,rzeczownik,A2
bite,gryźć,czasownik,B1
bury,grzebać,czasownik,B1
polite,grzeczny,przymiotnik,A2
rubber,guma,rzeczownik,B2
rubber,gumka do ścierania,rzeczownik,B2
rubber,gumowy,przymiotnik,B2
taste,gust,rzeczownik,A2
button,guzik,rzeczownik,A2
guarantee,gwarancja,rzeczownik,B2
guarantee,gwarantować,czasownik,B2
rapidly,gwałtownie,przysłówek,B2
rapid/ sharp/ violent,gwałtowny,przymiotnik,B2
star,gwiazda,rzeczownik,A1
star,gwiazdorzyć,czasownik,A2
nail,gwóźdź,rzeczownik,B1
mountain/ top,góra,rzeczownik,A1
top/ upper,górny,przymiotnik,A2
dominate,górować,czasownik,B2
thick,gęsty,przymiotnik,A2
smooth,gładki,przymiotnik,B1
hungry,głodny,przymiotnik,A1
voice,głos,rzeczownik,A2
vote,głos (w wyborach),rzeczownik,B1
vote,głosować,czasownik,B1
head,głowa,rzeczownik,A1
speaker,głośnik,rzeczownik,A2
loud/ loudly,głośno,przysłówek,A2
volume,głośność,rzeczownik,B2
loud/ noisy,głośny,przymiotnik,A2
silly/ stupid,głupi,przymiotnik,B1
highlight,główna atrakcja,rzeczownik,B1
largely/ mainly/ mostly,głównie,przysłówek,B2
capital/ central/ chief/ main/ major/ primary/ prime,główny,przymiotnik,A1
deep,głęboki,przymiotnik,A2
deep/ deeply,głęboko,przysłówek,B1
depth,głębokość,rzeczownik,B2
catch,haczyk,rzeczownik,B2
hey,halo,wykrzyknik,A1
trade,handel,rzeczownik,B1
trade,handlować,czasownik,B1
commercial,handlowy,przymiotnik,B1
schedule,harmonogram,rzeczownik,A2
noise,hałas,rzeczownik,A2
noisy,hałaśliwy,przymiotnik,A2
hey,hej,wykrzyknik,A1
helicopter,helikopter,rzeczownik,B1
tea,herbata,rzeczownik,A1
biscuit,herbatnik,rzeczownik,A2
history/ story,historia,rzeczownik,A1
historic,historyczny,przymiotnik,B1
historical,historyczny (dotyczący historii),przymiotnik,B1
hobby,hobby,rzeczownik,A1
farm/ grow,hodować,czasownik,A2
generous,hojny,przymiotnik,B1
hockey,hokej,rzeczownik,A2
hall,hol,rzeczownik,A2
honour,honor,rzeczownik,B2
honour,honorować,czasownik,B2
horror,horror,rzeczownik,B1
hotel,hotel,rzeczownik,A1
county,hrabstwo,rzeczownik,B2
crash,huk,rzeczownik,B2
humour/ mood,humor,rzeczownik,B2
humorous,humorystyczny,przymiotnik,B2
hurricane,huragan,rzeczownik,B1
and,i,spójnik,A1
their,ich,określnik,A1
them,ich,zaimek,A1
theirs,ich (zaimek dzierżawczy),zaimek,B1
idea,idea,rzeczownik,A1
perfectly,idealnie,przysłówek,B1
ideal/ perfect,idealny,przymiotnik,A2
ideal,ideał,rzeczownik,B2
identify,identyfikować,czasownik,A2
ignore,ignorować,czasownik,B1
needle,igła,rzeczownik,B1
whenever,ilekroć,spójnik,B1
amount/ number/ quantity,ilość,rzeczownik,A2
illustration,ilustracja,rzeczownik,B2
illustrate,ilustrować,czasownik,B2
them,im,zaimek,A1
immigrant,imigrant,rzeczownik,B1
name,imię,rzeczownik,A1
impress,imponować,czasownik,B2
impressive,imponujący,przymiotnik,B1
import,import,rzeczownik,B1
import,importować,czasownik,B1
venue,imprezy),rzeczownik,B2
differently/ otherwise,inaczej,przysłówek,A2
incident,incydent,rzeczownik,B2
individual,indywidualny,przymiotnik,A2
infection,infekcja,rzeczownik,B2
information,informacja,rzeczownik,A1
feedback,informacja zwrotna,rzeczownik,B2
information,informacje,rzeczownik,A1
IT,informatyka,rzeczownik,B1
inform,informować,czasownik,B2
initiative,inicjatywa,rzeczownik,B2
another,inny,określnik,A1
different,inny,przymiotnik,A1
other,inny,przymiotnik / zaimek,A1
else,inny,przysłówek,A1
another,inny,zaimek,A1
inspire,inspirować,czasownik,B2
install,instalować,czasownik,B2
instance,instancja,rzeczownik,B2
instruction,instrukcja,rzeczownik,A2
instructor,instruktor,rzeczownik,A2
instrument,instrument,rzeczownik,A2
institution,instytucja,rzeczownik,B2
institute,instytut,rzeczownik,B2
intelligence,inteligencja,rzeczownik,B1
intelligent/ smart,inteligentny,przymiotnik,A2
intention,intencja,rzeczownik,B1
intense,intensywny,przymiotnik,B2
interest,interesować,czasownik,A1
interesting,interesujący,przymiotnik,A1
business,interesy,rzeczownik,A1
internet,internet,rzeczownik,A1
online,internetowy,przymiotnik,A1
interpret,interpretować,czasownik,B2
invest,inwestować,czasownik,B1
investment,inwestycja,rzeczownik,B2
engineer,inżynier,rzeczownik,A2
engineering,inżynieria,rzeczownik,B1
annoy,irytować,czasownik,B1
annoying,irytujący,przymiotnik,B1
existence,istnienie,rzeczownik,B2
exist,istnieć,czasownik,A2
being/ creature/ substance,istota,rzeczownik,B2
indeed,istotnie,przysłówek,B1
crucial/ important/ relevant,istotny,przymiotnik,B2
go,iść,czasownik,A1
walk,iść pieszo,czasownik,A1
follow,iść za,czasownik,A1
I,ja,zaimek,A1
myself,ja sam,zaimek,A2
apple,jabłko,rzeczownik,A1
egg,jajko,rzeczownik,A1
like (similar),jak,przyimek,A1
how,jak,przysłówek,A1
once,jak tylko,spójnik,B1
what,jaki,zaimek / określnik,A1
some,jakieś,określnik / zaimek,A1
any,jakikolwiek,określnik,A1
any,jakikolwiek,zaimek,A1
whatever,jakikolwiek,zaimek / określnik,B1
a,jakiś,przedimek,A1
as,jako,przyimek,A1
quality,jakość,rzeczownik,A2
yard,jard (jednostka),rzeczownik,B1
clearly,jasno,przysłówek,A2
blonde,jasnowłosy,przymiotnik,A1
bright/ clear/ definite/ light (lamp)/ plain,jasny,przymiotnik,A2
fair,jasny (o cerze,przymiotnik,A2
jazz,jazz,rzeczownik,A2
go,jechać,czasownik,A1
ride,jechać (na czymś),czasownik,A1
one,jeden,liczebnik / określnik,A1
a,jeden,przedimek,A1
one,jeden,zaimek,A1
either,jeden i drugi,określnik / zaimek,A2
eleven,jedenaście,liczebnik,A1
third,jedna trzecia,rzeczownik,A2
however,jednak,przysłówek,A1
yet,jednak,spójnik,B2
though,jednak,spójnik / przysłówek,B1
equally,jednakowo,przysłówek,B1
however/ nevertheless,jednakże,przysłówek,A1
individual/ unit,jednostka,rzeczownik,A2
silk,jedwab,rzeczownik,B2
only,jedynie,przysłówek,A1
only,jedyny,przymiotnik,A1
feed/ food,jedzenie,rzeczownik,B2
his/ its,jego,określnik,A1
him,jego,zaimek,A1
his,jego (zaimek dzierżawczy),zaimek,A2
her,jej,zaimek / określnik,A1
its,jej (do it),określnik,A1
hers,jej (zaimek dzierżawczy),zaimek,A2
him,jemu,zaimek,A1
autumn,jesień,rzeczownik,A1
fall,jesień (AmE),rzeczownik,A2
else/ yet,jeszcze,przysłówek,A1
lake,jezioro,rzeczownik,A2
if,jeśli,spójnik,A1
unless,jeśli nie,spójnik,B1
eat,jeść,czasownik,A1
ski,jeździć na nartach,czasownik,A2
cycle,jeździć rowerem,czasownik,A2
if,jeżeli,spójnik,A1
junior,junior,przymiotnik,B2
tomorrow,jutro,przysłówek / rzeczownik,A1
already,już,przysłówek,A2
any more,już (nie),przysłówek,A2
yet,już (w pytaniach),przysłówek,A2
her,ją,zaimek / określnik,A1
core,jądro,rzeczownik,B2
nuclear,jądrowy,przymiotnik,B1
language,język,rzeczownik,A1
tongue,język (organ),rzeczownik,B1
cable,kabel,rzeczownik,B2
staff,kadra,rzeczownik,B1
camera,kamera,rzeczownik,A1
rock (stone)/ stone,kamień,rzeczownik,A2
campaign,kampania,rzeczownik,B1
campus,kampus,rzeczownik,B1
sandwich,kanapka,rzeczownik,A1
channel,kanał,rzeczownik,B1
candidate,kandydat,rzeczownik,B1
hat,kapelusz,rzeczownik,A1
captain,kapitan,rzeczownik,B1
priest,kapłan,rzeczownik,B1
punishment,kara,rzeczownik,B1
punish,karać,czasownik,B1
career,kariera,rzeczownik,A1
feed,karmić,czasownik,A2
criminal,karny,przymiotnik,B1
diamond,karo (w kartach),rzeczownik,B1
card,karta,rzeczownik,A1
menu,karta dań,rzeczownik,A1
disaster,katastrofa,rzeczownik,A2
category,kategoria,rzeczownik,B1
coffee,kawa,rzeczownik,A1
studio,kawalerka,rzeczownik,B1
joke/ trick,kawał,rzeczownik,A2
bit/ piece/ slice,kawałek,rzeczownik,A2
cafe,kawiarnia,rzeczownik,A1
pool,kałuża,rzeczownik,A1
all/ each/ every,każdy,określnik,A1
each,każdy,przysłówek,A1
each/ everybody,każdy,zaimek,A1
waiter,kelner,rzeczownik,A1
supporter,kibic,rzeczownik,B1
when,kiedy,przysłówek / zaimek / spójnik,A1
once,kiedy już,spójnik,B1
ever,kiedykolwiek,przysłówek,A1
whenever,kiedykolwiek,spójnik,B1
once,kiedyś,przysłówek,A1
glass,kieliszek,rzeczownik,A1
poor,kiepski,przymiotnik,A1
address/ direct,kierować,czasownik,B2
head,kierować (się),czasownik,B1
refer,kierować do,czasownik,A2
driver,kierowca,rzeczownik,A1
leadership,kierownictwo,rzeczownik,B2
executive,kierowniczy,przymiotnik,B2
manager,kierownik,rzeczownik,A2
direction,kierunek,rzeczownik,A2
pocket,kieszeń,rzeczownik,A2
stick (piece of wood),kij,rzeczownik,B1
few,kilka,określnik / przymiotnik,A1
several,kilka,określnik / zaimek,A2
couple,kilka,rzeczownik,A2
few,kilka osób,zaimek,A1
several,kilkanaście,określnik / zaimek,A2
kilometre,kilometr,rzeczownik,A1
cinema,kino,rzeczownik,A1
bunch,kiść,rzeczownik,B2
handle,klamka,rzeczownik,B2
class/ grade,klasa,rzeczownik,A1
classic,klasyczny,przymiotnik,B2
classical,klasyczny (np. muzyka),przymiotnik,A2
rank,klasyfikować (się),czasownik,B2
classic,klasyk,rzeczownik,B2
frame,klatka,rzeczownik,B1
chest,klatka piersiowa,rzeczownik,B1
clause,klauzula,rzeczownik,B1
keyboard,klawiatura,rzeczownik,B1
key,klawisz,rzeczownik,A1
client/ customer,klient,rzeczownik,B1
click,klikać,czasownik,B1
click,kliknięcie,rzeczownik,B1
mild,klimacie),przymiotnik,B1
climate,klimat,rzeczownik,A2
club,klub,rzeczownik,A1
key,klucz,rzeczownik,A1
core/ critical/ crucial/ key,kluczowy,przymiotnik,B2
defeat/ disaster,klęska,rzeczownik,B2
female,kobiecy,przymiotnik,A2
female/ woman,kobieta,rzeczownik,A2
dear,kochany,przymiotnik,A1
love,kochać,czasownik,A1
code,kod,rzeczownik,A2
whom,kogo,zaimek,B2
whom,kogo (bardziej formalne),zaimek,B2
associate/ connect,kojarzyć,czasownik,B2
dinner,kolacja,rzeczownik,A1
knee,kolano,rzeczownik,A2
fellow,kolega,przymiotnik,B2
colleague,kolega z pracy,rzeczownik,A2
college,kolegium,rzeczownik,A1
railway/ turn,kolej,rzeczownik,A2
line/ queue,kolejka,rzeczownik,A1
order/ sequence,kolejność,rzeczownik,A1
another,kolejny,określnik,A1
further/ next,kolejny,przymiotnik,A2
another,kolejny,zaimek,A1
collection,kolekcja,rzeczownik,B1
collect,kolekcjonować,czasownik,A2
conflict,kolidować,czasownik,B2
colour,kolor,rzeczownik,A1
orange,kolor pomarańczowy,rzeczownik,A1
yellow,kolor żółty,rzeczownik,A1
colour,kolorować,czasownik,B1
coloured,kolorowy,przymiotnik,B1
column,kolumna,rzeczownik,A2
combination,kombinacja,rzeczownik,B2
comedy,komedia,rzeczownik,A2
comment,komentarz,rzeczownik,A2
comment,komentować,czasownik,B1
commercial,komercyjny,przymiotnik,B1
comfort,komfort,rzeczownik,B2
committee,komisja,rzeczownik,B2
committee,komitet,rzeczownik,B2
complex,kompleks (budynków),rzeczownik,B2
set (group),komplet,rzeczownik,B1
complete,kompletny,przymiotnik,A1
component,komponent,rzeczownik,B2
computer,komputer,rzeczownik,A1
communication,komunikacja,rzeczownik,B1
announcement/ statement,komunikat,rzeczownik,B1
communicate,komunikować się,czasownik,A2
cell,komórka,rzeczownik,B2
concentration,koncentracja,rzeczownik,B2
concentrate/ focus,koncentrować,czasownik,B1
centre,koncentrować się,czasownik,B1
concept,koncepcja,rzeczownik,B2
concert,koncert,rzeczownik,A1
fitness,kondycja,rzeczownik,B1
conference,konferencja,rzeczownik,A2
conflict,konflikt,rzeczownik,B2
over,koniec,przysłówek,A1
close/ end/ finish,koniec,rzeczownik,B2
necessarily,koniecznie,przysłówek,B1
necessary,konieczny,przymiotnik,A2
specifically,konkretnie,przysłówek,B1
certain/ particular/ specific,konkretny,przymiotnik,A2
competition,konkurencja,rzeczownik,A2
competitive,konkurencyjny,przymiotnik,B1
competitor,konkurent,rzeczownik,B1
compete,konkurować,czasownik,A2
competition/ contest,konkurs,rzeczownik,A2
consequence,konsekwencja,rzeczownik,B1
consistent,konsekwentny,przymiotnik,B2
conservative,konserwatysta,rzeczownik,B2
conservative,konserwatywny,przymiotnik,B2
maintain/ preserve,konserwować,czasownik,B2
construction/ structure,konstrukcja,rzeczownik,B2
construct/ structure,konstruować,czasownik,B2
consumer,konsument,rzeczownik,B1
consume,konsumować,czasownik,B1
contact,kontakt,rzeczownik,B1
contact,kontaktować się,czasownik,B1
context,kontekst,rzeczownik,A2
container,kontener,rzeczownik,B1
account,konto,rzeczownik,B1
contract,kontrakt,rzeczownik,B2
contrast,kontrast,rzeczownik,B1
contrast,kontrastować,czasownik,B1
check/ control,kontrola,rzeczownik,A2
check/ control,kontrolować,czasownik,A1
injury,kontuzja,rzeczownik,A2
injured,kontuzjowany,przymiotnik,B1
continent,kontynent,rzeczownik,A2
continue,kontynuować,czasownik,A2
convert,konwertować,czasownik,B2
mine,kopalnia,rzeczownik,B1
kick,kopać,czasownik,B1
dig,kopać (w ziemi),czasownik,B2
copy,kopia,rzeczownik,A2
copy,kopiować,czasownik,A2
kick,kopnięcie,rzeczownik,B1
kick,kopnąć,czasownik,B1
corporate,korporacyjny,przymiotnik,B2
court,kort,rzeczownik,B1
revise,korygować,czasownik,B1
hall/ passage,korytarz,rzeczownik,A2
root,korzeń,rzeczownik,B2
benefit/ use,korzystać,czasownik,B1
benefit,korzyść,rzeczownik,A2
space,kosmos,rzeczownik,A1
costume/ suit,kostium,rzeczownik,B1
ankle,kostka,rzeczownik,A2
bin,kosz,rzeczownik,A2
nightmare,koszmar,rzeczownik,B2
cost/ expense,koszt,rzeczownik,A1
estimate,kosztorys,rzeczownik,B2
cost/ sample,kosztować,czasownik,A1
shirt,koszula,rzeczownik,A1
T-shirt,koszulka,rzeczownik,A1
basketball,koszykówka,rzeczownik,A2
cat,kot,rzeczownik,A1
circle/ wheel,koło,rzeczownik,A2
horse,koń,rzeczownik,A1
final,końcowy,przymiotnik,A1
complete/ conclude/ finish,kończyć,czasownik,A1
end,kończyć (się),czasownik,A1
point,końcówka,rzeczownik,A1
church,kościół,rzeczownik,A2
bone,kość,rzeczownik,A2
region,kraina,rzeczownik,A2
country,kraj,rzeczownik,A1
landscape,krajobraz,rzeczownik,B2
countryside,krajobraz wiejski,rzeczownik,B1
domestic,krajowy,przymiotnik,B2
crash,kraksa,rzeczownik,B2
tie,krawat,rzeczownik,A2
edge,krawędź,rzeczownik,B1
steal,kraść,czasownik,A2
creative,kreatywny,przymiotnik,A2
credit/ loan,kredyt,rzeczownik,A2
cream,krem,rzeczownik,A1
cream,kremowy,przymiotnik,B1
cartoon,kreskówka,rzeczownik,A2
blood,krew,rzeczownik,A2
relative,krewna,rzeczownik,B1
relation/ relative,krewny,rzeczownik,B1
plot,kreślić,czasownik,B2
step,kroczyć,czasownik,B2
cut,kroić,czasownik,A1
slice,kroić na plastry,czasownik,B1
pace/ step,krok,rzeczownik,B2
spot,kropka,rzeczownik,B1
period,kropka (AmE),rzeczownik,A1
drop,kropla,rzeczownik,B1
cow,krowa,rzeczownik,A1
criterion,kryterium,rzeczownik,B2
critical,krytyczny,przymiotnik,B2
critic,krytyk,rzeczownik,B2
criticism,krytyka,rzeczownik,B2
criticize,krytykować,czasownik,B2
crisis,kryzys,rzeczownik,B2
bush,krzak,rzeczownik,B2
chair,krzesło,rzeczownik,A1
bush,krzew,rzeczownik,B2
cry/ scream/ shout,krzyczeć,czasownik,A2
cry/ scream/ shout,krzyk,rzeczownik,B2
curve,krzywa,rzeczownik,B2
harm/ hurt/ wrong,krzywda,rzeczownik,B2
harm,krzywdzić,czasownik,B2
bent,krzywy,przymiotnik,B2
cross,krzyż,rzeczownik,A2
king,król,rzeczownik,A2
royal,królewski,przymiotnik,B1
queen,królowa,rzeczownik,A2
brief/ short,krótki,przymiotnik,B2
circle/ ring (object),krąg,rzeczownik,A2
circle,krążyć,czasownik,A2
curly,kręcony (o włosach),przymiotnik,A2
priest,ksiądz,rzeczownik,B1
book,książka,rzeczownik,A1
prince,książę,rzeczownik,B1
princess,księżniczka,rzeczownik,B1
moon,księżyc,rzeczownik,A2
educate,kształcić,czasownik,B1
form/ shape,kształt,rzeczownik,A1
shape,kształtować,czasownik,B2
who,kto,zaimek,A1
anybody/ anyone,ktokolwiek,zaimek,A2
one/ somebody/ someone,ktoś,zaimek,A1
which,który,zaimek / określnik,A1
that,który,zaimek / spójnik,A1
either,któryś z dwóch,określnik / zaimek,A2
to,ku (również jako partyuła bezokolicznika),przyimek,A1
cook,kucharz,rzeczownik,A2
cooker,kuchenka,rzeczownik,A2
kitchen,kuchnia,rzeczownik,A1
bullet,kula,rzeczownik,B2
culture,kultura,rzeczownik,A1
cultural,kulturowy,przymiotnik,B1
buy/ purchase,kupować,czasownik,A1
cure/ treatment,kuracja,rzeczownik,B2
chicken,kurczak,rzeczownik,A1
contract,kurczyć się,czasownik,B2
resort,kurort,rzeczownik,B2
course,kurs,rzeczownik,A1
coat/ jacket,kurtka,rzeczownik,A1
curtain,kurtyna,rzeczownik,B1
dust,kurz,rzeczownik,B1
cousin,kuzyn,rzeczownik,A1
cousin,kuzynka,rzeczownik,A1
quarter,kwadrans,rzeczownik,A1
square,kwadrat,rzeczownik,A2
square,kwadratowy,przymiotnik,A2
qualification,kwalifikacja,rzeczownik,B1
qualify,kwalifikować się,czasownik,B1
issue/ question,kwestia,rzeczownik,B1
challenge/ contest/ question,kwestionować,czasownik,B2
flower,kwiat,rzeczownik,A1
April,kwiecień,rzeczownik,A1
amount/ sum,kwota,rzeczownik,A2
bath/ swim,kąpiel,rzeczownik,A1
angle/ corner,kąt,rzeczownik,B2
bite,kęs,rzeczownik,B1
bite,kęsać,czasownik,B1
lie (untruth),kłamać,czasownik,B1
lie (untruth),kłamstwo,rzeczownik,B1
lay/ place/ put,kłaść,czasownik,B1
lay,kłaść (np. do łóżka),czasownik,B1
trouble,kłopot,rzeczownik,A2
argue,kłócić się,czasownik,A2
lock,kłódka,rzeczownik,A2
argument/ fight,kłótnia,rzeczownik,A2
lab/ laboratory,laboratorium,rzeczownik,A2
bar,lada,rzeczownik,A2
lamp/ light (lamp),lampa,rzeczownik,A2
flash,lampa błyskowa,rzeczownik,B2
laptop,laptop,rzeczownik,A2
forest/ wood,las,rzeczownik,A2
flying,latający,przymiotnik,A2
flying,latanie,rzeczownik,A2
fly,latać,czasownik,A1
summer,lato,rzeczownik,A1
pour,lać (o deszczu),czasownik,B1
but,lecz,spójnik,A1
treatment,leczenie,rzeczownik,B1
cure/ treat,leczyć,czasownik,B2
hardly,ledwie,przysłówek,B1
hardly,ledwo,przysłówek,B1
legal,legalny,przymiotnik,B1
drug/ medicine,lek,rzeczownik,A2
cure,lekarstwo,rzeczownik,B2
doctor,lekarz,rzeczownik,A1
fee,lekarza),rzeczownik,B2
discount,lekceważyć,czasownik,B2
class/ lesson,lekcja,rzeczownik,A1
light (weight),lekki,przymiotnik,A2
athlete,lekkoatleta,rzeczownik,A2
lazy,leniwy,przymiotnik,A2
better,lepiej,przysłówek,A2
sticky,lepki,przymiotnik,B2
better,lepszy,przymiotnik,A1
lion,lew,rzeczownik,A1
left,lewa strona,rzeczownik,A1
left,lewy,przymiotnik,A1
lie (recline),leżeć,czasownik,A1
licence,licencja,rzeczownik,B2
figure/ number,liczba,rzeczownik,A2
score,liczba punktów,rzeczownik,A2
count,liczenie,rzeczownik,B1
multiple/ numerous,liczny,przymiotnik,B2
count/ figure/ number,liczyć,czasownik,A2
matter,liczyć się,czasownik,A2
leader,lider,rzeczownik,A2
league,liga,rzeczownik,B2
limit,limit,rzeczownik,B1
rope,lina,rzeczownik,B1
line,linia,rzeczownik,A1
railway,linia kolejowa,rzeczownik,A2
airline,linia lotnicza,rzeczownik,A2
link,link,rzeczownik,A2
July,lipiec,rzeczownik,A1
letter,list,rzeczownik,A1
list,lista,rzeczownik,A1
November,listopad,rzeczownik,A1
letter,litera,rzeczownik,A1
literature,literatura,rzeczownik,B1
spell,literować,czasownik,A1
sympathy,litość,rzeczownik,B2
leaf,liść,rzeczownik,B1
ice cream,lody,rzeczownik,A1
fridge,lodówka,rzeczownik,A2
logical,logiczny,przymiotnik,B2
location,lokalizacja,rzeczownik,B1
locate,lokalizować,czasownik,B1
local,lokalny,przymiotnik,A1
local,lokalny bar,rzeczownik,B1
lord,lord,rzeczownik,B2
fortune,los,rzeczownik,B2
flight,lot,rzeczownik,A1
airport,lotnisko,rzeczownik,A1
or,lub,spójnik,A1
enjoy/ like (pleasant),lubić,czasownik,A1
population,ludność,rzeczownik,A2
folk,ludowy,przymiotnik,B1
folk/ people,ludzie,rzeczownik,B1
human,ludzki,przymiotnik,A2
gap,luka,rzeczownik,A2
luxury,luksus,rzeczownik,B1
fancy,luksusowy,przymiotnik,B1
lunch,lunch,rzeczownik,A1
mirror,lustro,rzeczownik,A2
February,luty,rzeczownik,A1
loose,luźny,przymiotnik,B2
ice,lód,rzeczownik,A1
land,ląd,rzeczownik,A1
land,lądować,czasownik,A2
fear,lęk,rzeczownik,A2
anxious,lękowy,przymiotnik,B2
shiny,lśniący,przymiotnik,B1
wave,machanie,rzeczownik,A2
wave,machać,czasownik,B1
magazine/ store,magazyn,rzeczownik,A1
store,magazynować,czasownik,B1
magic,magia,rzeczownik,B1
magic,magiczny,przymiotnik,B1
May,maj,rzeczownik,A1
pants,majtki,rzeczownik,A2
sick,mający mdłości,przymiotnik,A1
lucky,mający szczęście,przymiotnik,A2
estate/ fortune/ wealth,majątek,rzeczownik,B2
maximum,maksimum,rzeczownik,B2
maximum,maksymalny,przymiotnik,B2
painting,malarstwo,rzeczownik,A1
painter,malarz,rzeczownik,A2
tiny,maleńki,przymiotnik,B1
paint,malować,czasownik,A1
mum,mama,rzeczownik,A1
map,mapa,rzeczownik,A1
map,mapować,czasownik,B2
carrot,marchewka,rzeczownik,A1
brand/ make,marka,rzeczownik,B1
marketing,marketing,rzeczownik,B1
waste,marnotrawstwo,rzeczownik,B1
waste,marnować,czasownik,B1
trouble,martwić,czasownik,B2
worry,martwić się,czasownik,A2
dead,martwy,przymiotnik,A2
jacket,marynarka,rzeczownik,A1
sailor,marynarz,rzeczownik,B1
March,marzec,rzeczownik,A1
dream,marzenie,rzeczownik,A2
dream,marzyć,czasownik,A2
mass,masa,rzeczownik,B2
mass,masowy,przymiotnik,B2
massive,masywny,przymiotnik,B2
machine,maszyna,rzeczownik,A1
butter,masło,rzeczownik,A1
mathematics,matematyka,rzeczownik,A2
matter,materia,rzeczownik,A2
material,materialny,przymiotnik,B2
material/ stuff,materiał,rzeczownik,A2
mother,matka,rzeczownik,A1
maths,matma,rzeczownik,A2
few,mało,określnik / przymiotnik,A1
little,mało,określnik / zaimek,A1
little,mało,przysłówek,A2
unlikely,mało prawdopodobny,przymiotnik,B1
monkey,małpa,rzeczownik,A2
little/ small,mały,przymiotnik,A1
marriage,małżeństwo,rzeczownik,B1
furniture,meble,rzeczownik,A2
game/ match,mecz,rzeczownik,A1
media,media,rzeczownik,A2
medium,medium,rzeczownik,B2
medicine,medycyna,rzeczownik,A2
medical,medyczny,przymiotnik,A2
tune,melodia,rzeczownik,B2
manager,menedżer,rzeczownik,A2
mental,mentalny,przymiotnik,B1
menu,menu,rzeczownik,A1
metal,metal,rzeczownik,A2
label,metka,rzeczownik,B1
method/ technique,metoda,rzeczownik,A2
metre,metr,rzeczownik,A1
tube,metro (Londyn),rzeczownik,B1
me,mi,zaimek,A1
measure,miara,rzeczownik,B1
city,miasto,rzeczownik,A1
town,miasto (mniejsze niż city),rzeczownik,A1
place/ room/ site/ space/ spot,miejsce,rzeczownik,A1
venue,miejsce (spotkania,rzeczownik,B2
destination,miejsce docelowe,rzeczownik,B1
seat,miejsce siedzące,rzeczownik,A2
home,miejsce zamieszkania,rzeczownik,A1
scene,miejsce zdarzenia,rzeczownik,A2
past,miejsce),przyimek,A1
local,miejscowy,przymiotnik,A1
urban,miejski,przymiotnik,B2
measure,mierzyć,czasownik,B1
time,mierzyć czas,czasownik,B2
month,miesiąc,rzeczownik,A1
mixture,mieszanina,rzeczownik,B1
mix,mieszanka,rzeczownik,B1
mixed,mieszany,przymiotnik,B2
combine/ mix,mieszać,czasownik,B1
housing,mieszkalnictwo,rzeczownik,B2
