english,polish,type,level
conservative,konserwatywny,przymiotnik,B2
conservative,konserwatysta,rzeczownik,B2
consider,rozważać / brać pod uwagę,czasownik,A2
consideration,rozważanie / namysł,rzeczownik,B2
consist,składać się (z czegoś),czasownik,B1
consistent,konsekwentny / spójny,przymiotnik,B2
constant,stały / nieustanny,przymiotnik,B2
constantly,stale / ciągle,przysłówek,B2
construct,budować / konstruować,czasownik,B2
construction,budowa / konstrukcja,rzeczownik,B2
consume,konsumować / spożywać,czasownik,B1
consumer,konsument,rzeczownik,B1
contact,kontakt,rzeczownik,B1
contact,kontaktować się,czasownik,B1
contain,zawierać / pomieścić,czasownik,A2
container,pojemnik / kontener,rzeczownik,B1
contemporary,współczesny,przymiotnik,B2
content,zawartość / treść,rzeczownik,B1
contest,konkurs / zawody,rzeczownik,B2
contest,kwestionować / startować w zawodach,czasownik,B2
context,kontekst,rzeczownik,A2
continent,kontynent,rzeczownik,A2
continue,kontynuować,czasownik,A2
continuous,ciągły / stały,przymiotnik,B1
contract,umowa / kontrakt,rzeczownik,B2
contract,zawierać umowę / kurczyć się,czasownik,B2
contrast,kontrast / przeciwieństwo,rzeczownik,B1
contrast,kontrastować / porównywać,czasownik,B1
contribute,wnosić wkład / przyczyniać się,czasownik,B2
contribution,wkład / udział,rzeczownik,B2
control,kontrola / panowanie,rzeczownik,A2
control,kontrolować / sterować,czasownik,A2
convenient,wygodny / poręczny,przymiotnik,B1
conversation,rozmowa,rzeczownik,A1
convert,przekształcać / konwertować,czasownik,B2
convince,przekonywać,czasownik,B1
convinced,przekonany,przymiotnik,B2
cook,gotować,czasownik,A1
cook,kucharz,rzeczownik,A2
cooker,kuchenka,rzeczownik,A2
cooking,gotowanie,rzeczownik,A1
cool,chłodny / fajny,przymiotnik,A1
cool,chłodzić / stygnąć,czasownik,B1
copy,kopia / egzemplarz,rzeczownik,A2
copy,kopiować / naśladować,czasownik,A2
core,rdzeń / jądro / sedno,rzeczownik,B2
core,podstawowy / kluczowy,przymiotnik,B2
corner,róg / kąt,rzeczownik,A2
corporate,korporacyjny / wspólny,przymiotnik,B2
correct,poprawny / właściwy,przymiotnik,A1
correct,poprawiać,czasownik,A1
correctly,poprawnie / prawidłowo,przysłówek,A2
cost,koszt / cena,rzeczownik,A1
cost,kosztować,czasownik,A1
costume,kostium / strój,rzeczownik,B1
cottage,domek wiejski / chata,rzeczownik,B1
cotton,bawełna,rzeczownik,B1
could,mógł / mogła (przeszłość od can),czasownik modalny,A1
council,rada,rzeczownik,B2
count,liczyć,czasownik,A2
count,liczenie / rachunek,rzeczownik,B1
country,kraj / państwo,rzeczownik,A1
countryside,wieś / krajobraz wiejski,rzeczownik,B1
county,hrabstwo / powiat,rzeczownik,B2
couple,para / kilka,rzeczownik,A2
courage,odwaga,rzeczownik,B2
course,kurs / danie / tok,rzeczownik,A1
court,sąd / kort,rzeczownik,B1
cousin,kuzyn / kuzynka,rzeczownik,A1
cover,przykrywać / zakrywać,czasownik,A2
cover,okładka / pokrycie / schronienie,rzeczownik,B1
covered,zakryty / pokryty,przymiotnik,B1
cow,krowa,rzeczownik,A1
crash,wypadek / kraksa / huk,rzeczownik,B2
crash,rozbić się / wetrzeć się,czasownik,B2
crazy,szalony / zwariowany,przymiotnik,A2
cream,śmietana / krem,rzeczownik,A1
cream,kremowy,przymiotnik,B1
create,tworzyć / stwarzać,czasownik,A1
creation,tworzenie / dzieło,rzeczownik,B2
creative,kreatywny / twórczy,przymiotnik,A2
creature,stworzenie / istota,rzeczownik,B2
credit,kredyt / zasługa / uznanie,rzeczownik,A2
credit,uznawać zasługę / zasilać konto,czasownik,B2
crew,załoga / ekipa,rzeczownik,B2
crime,przestępstwo / zbrodnia,rzeczownik,A2
criminal,przestępca,rzeczownik,A2
criminal,przestępczy / karny,przymiotnik,B1
crisis,kryzys,rzeczownik,B2
criterion,kryterium,rzeczownik,B2
critic,krytyk,rzeczownik,B2
critical,krytyczny / kluczowy,przymiotnik,B2
criticism,krytyka,rzeczownik,B2
criticize,krytykować,czasownik,B2
crop,plon / uprawa,rzeczownik,B2
cross,przekraczać / przechodzić przez,czasownik,A2
cross,krzyż,rzeczownik,A2
crowd,tłum,rzeczownik,A2
crowded,zatłoczony,przymiotnik,A2
crucial,kluczowy / istotny,przymiotnik,B2
cruel,okrutny,przymiotnik,B1
cry,płakać / krzyczeć,czasownik,A2
cry,płacz / krzyk,rzeczownik,B2
cultural,kulturowy,przymiotnik,B1
culture,kultura,rzeczownik,A1
cup,filiżanka / puchar,rzeczownik,A1
cupboard,szafka (kuchenna),rzeczownik,A2
cure,leczyć / wyleczyć,czasownik,B2
cure,lekarstwo / kuracja,rzeczownik,B2
curly,kręcony (o włosach),przymiotnik,A2
currency,waluta,rzeczownik,B1
current,bieżący / aktualny,przymiotnik,B1
current,nurt / prąd,rzeczownik,B2
currently,obecnie / aktualnie,przysłówek,B1
curtain,zasłona / kurtyna,rzeczownik,B1
curve,zakręt / krzywa,rzeczownik,B2
curve,wykrzywiać (się),czasownik,B2
curved,zakrzywiony,przymiotnik,B2
custom,zwyczaj / obyczaj,rzeczownik,B1
customer,klient,rzeczownik,A1
cut,ciąć / kroić,czasownik,A1
cut,cięcie / rana cięta,rzeczownik,B1
cycle,cykl,rzeczownik,A2
cycle,jeździć rowerem,czasownik,A2
dad,tata,rzeczownik,A1
daily,codzienny,przymiotnik,A2
daily,codziennie,przysłówek,B1
damage,szkoda / uszkodzenie,rzeczownik,B1
damage,uszkadzać / niszczyć,czasownik,B1
dance,taniec,rzeczownik,A1
dance,tańczyć,czasownik,A1
dancer,tancerz / tancerka,rzeczownik,A1
dancing,tańczenie / taniec,rzeczownik,A1
danger,niebezpieczeństwo,rzeczownik,A2
dangerous,niebezpieczny,przymiotnik,A1
dark,ciemny,przymiotnik,A1
dark,ciemność,rzeczownik,A2
data,dane,rzeczownik,A2
date,data / randka,rzeczownik,A1
date,datować / umawiać się,czasownik,B2
daughter,córka,rzeczownik,A1
day,dzień,rzeczownik,A1
dead,martwy,przymiotnik,A2
deal,radzić sobie / zajmować się,czasownik,A2
deal,układ / porozumienie,rzeczownik,B1
dear,drogi / kochany,przymiotnik,A1
dear,o rany!,wykrzyknik,A2
death,śmierć,rzeczownik,A2
debate,debata / dyskusja,rzeczownik,B2
debate,debatować,czasownik,B2
debt,dług,rzeczownik,B2
decade,dekada / dziesięciolecie,rzeczownik,B1
December,grudzień,rzeczownik,A1
decent,przyzwoity / porządny,przymiotnik,B2
decide,decydować,czasownik,A1
decision,decyzja,rzeczownik,A2
declare,deklarować / ogłaszać,czasownik,B2
decline,spadać / obniżać się / odmawiać,czasownik,B2
decline,spadek / obniżenie,rzeczownik,B2
decorate,dekorować / ozdabiać,czasownik,B1
decoration,dekoracja / ozdoba,rzeczownik,B2
decrease,zmniejszać (się),czasownik,B2
decrease,spadek / zmniejszenie,rzeczownik,B2
deep,głęboki,przymiotnik,A2
deep,głęboko,przysłówek,B1
deeply,głęboko / bardzo,przysłówek,B2
defeat,pokonywać,czasownik,B2
defeat,porażka / klęska,rzeczownik,B2
defence,obrona,rzeczownik,B2
defend,bronić,czasownik,B2
define,definiować / określać,czasownik,B1
definite,jasny / określony,przymiotnik,B1
definitely,zdecydowanie / na pewno,przysłówek,A2
definition,definicja,rzeczownik,B1
degree,stopień / stopień naukowy,rzeczownik,A2
deliberate,celowy / zamierzony,przymiotnik,B2
delay,opóźniać / odwlekać,czasownik,B2
delay,opóźnienie / zwłoka,rzeczownik,B2
deliberately,celowo / umyślnie,przysłówek,B2
delicious,pyszny / wyborny,przymiotnik,A1
delight,zachwycać,czasownik,B2
delight,zachwyt / radość,rzeczownik,B2
delighted,zachwycony,przymiotnik,B2
deliver,dostarczać,czasownik,B1
delivery,dostawa,rzeczownik,B2
demand,żądać / wymagać,czasownik,B2
demand,popyt / żądanie,rzeczownik,B2
demonstrate,demonstrować / wykazywać,czasownik,B2
dentist,dentysta / stomatolog,rzeczownik,A2
deny,zaprzeczać / odmawiać,czasownik,B2
department,departament / wydział / dział,rzeczownik,A2
departure,odjazd / odlot,rzeczownik,B1
depend,zależeć,czasownik,A2
depressed,przygnębiony / w depresji,przymiotnik,B2
depressing,przygnębiający,przymiotnik,B2
depth,głębokość,rzeczownik,B2
describe,opisywać,czasownik,A1
description,opis,rzeczownik,A1
desert,pustynia,rzeczownik,A2
desert,opuszczać / porzucać,czasownik,B2
deserve,zasługiwać,czasownik,B2
design,projekt / wzór,rzeczownik,A1
design,projektować,czasownik,A1
designer,projektant / projektantka,rzeczownik,A2
desire,pragnienie / chęć,rzeczownik,B2
desire,pragnąć,czasownik,B2
desk,biurko,rzeczownik,A1
desperate,zdesperowany / rozpaczliwy,przymiotnik,B2
despite,mimo / pomimo,przyimek,B1
destination,cel podróży / miejsce docelowe,rzeczownik,B1
destroy,niszczyć,czasownik,A2
detail,szczegół / detal,rzeczownik,A1
detail,szczegółowo opisywać,czasownik,B2
detailed,szczegółowy,przymiotnik,B2
detect,wykrywać,czasownik,B2
detective,detektyw,rzeczownik,A2
determine,ustalać / określać,czasownik,B1
determined,zdeterminowany / zdecydowany,przymiotnik,B1
develop,rozwijać / opracowywać,czasownik,A2
development,rozwój / postęp,rzeczownik,B1
device,urządzenie / przyrząd,rzeczownik,A2
diagram,diagram / schemat,rzeczownik,B1
dialogue,dialog / rozmowa,rzeczownik,A1
diamond,diament / karo (w kartach),rzeczownik,B1
diary,dziennik / pamiętnik,rzeczownik,A2
dictionary,słownik,rzeczownik,A1
die,umierać,czasownik,A1
diet,dieta,rzeczownik,A1
difference,różnica,rzeczownik,A1
different,inny / różny,przymiotnik,A1
differently,inaczej / różnie,przysłówek,A2
difficult,trudny,przymiotnik,A1
difficulty,trudność,rzeczownik,B1
dig,kopać (w ziemi),czasownik,B2
digital,cyfrowy,przymiotnik,A2
dinner,obiad / kolacja,rzeczownik,A1
direct,bezpośredni,przymiotnik,A2
direct,kierować / reżyserować,czasownik,B1
direct,bezpośrednio,przysłówek,B1
direction,kierunek / strona,rzeczownik,A2
directly,bezpośrednio / wprost,przysłówek,B1
director,dyrektor / reżyser,rzeczownik,A2
dirt,brud / błoto,rzeczownik,B1
dirty,brudny,przymiotnik,A1
disadvantage,wada / niekorzyść,rzeczownik,B1
disagree,nie zgadzać się,czasownik,A2
disappear,znikać,czasownik,A2
disappointed,rozczarowany / zawiedziony,przymiotnik,B1
disappointing,rozczarowujący,przymiotnik,B1
disaster,katastrofa / klęska,rzeczownik,A2
disc,płyta / dysk,rzeczownik,B2
discipline,dyscyplina,rzeczownik,B2
discount,zniżka / rabat,rzeczownik,B1
discount,lekceważyć / obniżać cenę,czasownik,B2
discover,odkrywać,czasownik,A2
discovery,odkrycie,rzeczownik,A2
discuss,dyskutować / omawiać,czasownik,A1
discussion,dyskusja,rzeczownik,A2
disease,choroba,rzeczownik,A2
dish,danie / potrawa / naczynie,rzeczownik,A1
dishonest,nieuczciwy,przymiotnik,B2
dislike,nie lubić,czasownik,B1
dislike,niechęć,rzeczownik,B1
dismiss,zwalniać / odrzucać,czasownik,B2
display,pokazywać / wyświetlać,czasownik,B2
display,wystawa / pokaz,rzeczownik,B2
distance,odległość / dystans,rzeczownik,A2
distribute,rozprowadzać / rozdawać,czasownik,B2
distribution,dystrybucja / rozkład,rzeczownik,B2
district,dzielnica / okręg,rzeczownik,B2
divide,dzielić (się),czasownik,B1
divide,podział / granica,rzeczownik,B2
division,podział / wydział,rzeczownik,B2
divorced,rozwiedziony,przymiotnik,A2
do (main),robić / czynić,czasownik,A1
do (auxiliary),operator (posiłkowy),czasownik posiłkowy,A1
doctor,lekarz / doktor,rzeczownik,A1
document,dokument,rzeczownik,A2
document,dokumentować,czasownik,B2
documentary,film dokumentalny,rzeczownik,B1
dog,pies,rzeczownik,A1
dollar,dolar,rzeczownik,A1
domestic,domowy / krajowy,przymiotnik,B2
dominate,dominować / górować,czasownik,B2
donate,darować / wspomagać,czasownik,B1
door,drzwi,rzeczownik,A1
double,podwójny,przymiotnik,A2
double,podwójnie,przysłówek,B1
double,podwoić,czasownik,A2
doubt,wątpliwość,rzeczownik,B1
doubt,wątpić,czasownik,B1
down,na dół / na dole,przysłówek,A1
down,w dół (czegoś),przyimek,A1
download,pobierać (dane),czasownik,A2
download,pobrany plik,rzeczownik,A2
downstairs,na dole / na parterze,przysłówek,A1
downstairs,parterowy / dolny,przymiotnik,A2
downwards,w dół,przysłówek,B2
dozen,tuzin,rzeczownik,B2
draft,szkic / projekt,rzeczownik,B2
draft,szkicować / sporządzać projekt,czasownik,B2
drag,ciągnąć / wlec,czasownik,B2
drama,dramat,rzeczownik,A2
dramatic,dramatyczny,przymiotnik,B2
draw,rysować / pociągać,czasownik,A1
drawing,rysunek,rzeczownik,A2
dream,sen / marzenie,rzeczownik,A2
dream,śnić / marzyć,czasownik,A2
dress,sukienka,rzeczownik,A1
dress,ubierać (się),czasownik,A1
dressed,ubrany,przymiotnik,B1
drink,pić,czasownik,A1
drink,napój,rzeczownik,A1
drive,prowadzić (pojazd),czasownik,A1
drive,podjazd / przejażdżka,rzeczownik,A2
driver,kierowca,rzeczownik,A1
driving,prowadzenie auta,rzeczownik,A2
drop,upuszczać / spadać,czasownik,A2
drop,kropla / spadek,rzeczownik,B1
drug,lek / narkotyk,rzeczownik,A2
drum,bęben,rzeczownik,B1
drunk,pijany,przymiotnik,B1
dry,suchy,przymiotnik,A2
dry,susić / wycierać,czasownik,A2
due,należny / planowany,przymiotnik,B1
during,podczas,przyimek,A1
dust,kurz / pył,rzeczownik,B1
duty,obowiązek / dyżur / cło,rzeczownik,B1
DVD,płyta DVD,rzeczownik,A1
each,każdy,określnik,A1
each,każdy,zaimek,A1
each,każdy,przysłówek,A1
ear,ucho,rzeczownik,A1
early,wczesny,przymiotnik,A1
early,wcześnie,przysłówek,A1
earn,zarabiać,czasownik,A2
earth,ziemia / glob,rzeczownik,A2
earthquake,trzęsienie ziemi,rzeczownik,B1
easily,łatwo,przysłówek,A2
east,wschód,rzeczownik,A1
east,wschodni,przymiotnik,A1
east,na wschód,przysłówek,A1
eastern,wschodni,przymiotnik,B1
easy,łatwy,przymiotnik,A1
eat,jeść,czasownik,A1
economic,ekonomiczny / gospodarczy,przymiotnik,B1
economy,gospodarka / ekonomia,rzeczownik,B1
edge,krawędź / brzeg,rzeczownik,B1
edit,redagować / edytować,czasownik,B2
edition,wydanie / edycja,rzeczownik,B2
editor,redaktor,rzeczownik,B1
educate,kształcić / edukować,czasownik,B1
educated,wykształcony,przymiotnik,B1
education,edukacja / wykształcenie,rzeczownik,A2
educational,edukacyjny,przymiotnik,B1
effect,efekt / skutek,rzeczownik,A2
effective,skuteczny / efektywny,przymiotnik,B1
effectively,skutecznie / efektywnie,przysłówek,B1
efficient,wydajny / sprawny,przymiotnik,B2
effort,wysiłek / trud,rzeczownik,B1
egg,jajko,rzeczownik,A1
eight,osiem,liczebnik,A1
eighteen,osiemnaście,liczebnik,A1
eighty,osiemdziesiąt,liczebnik,A1
either,któryś z dwóch / jeden i drugi,określnik / zaimek,A2
either,też / również (w przeczeniach),przysłówek,A2
elderly,starszy (o osobie),przymiotnik,B2
elect,wybierać (w głosowaniu),czasownik,B2
election,wybory,rzeczownik,B1
electric,elektryczny,przymiotnik,A2
electrical,elektryczny (dotyczący elektryczności),przymiotnik,A2
electricity,elektryczność / prąd,rzeczownik,A2
electronic,elektroniczny,przymiotnik,A2
element,element / pierwiastek,rzeczownik,B1
elephant,słoń,rzeczownik,A1
eleven,jedenaście,liczebnik,A1
else,inny / jeszcze,przysłówek,A1
elsewhere,gdzie indziej,przysłówek,B2
email,e-mail,rzeczownik,A1
email,wysyłać e-mail,czasownik,A1
embarrassed,zażenowany / zawstydzony,przymiotnik,B1
embarrassing,żenujący / wprawiający w zakłopotanie,przymiotnik,B1
emerge,pojawiać się / wyłaniać,czasownik,B2
emergency,nagły wypadek / sytuacja awaryjna,rzeczownik,B1
emotion,emocja,rzeczownik,B1
emotional,emocjonalny / uczuciowy,przymiotnik,B2
emphasis,nacisk / emfaza,rzeczownik,B2
emphasize,podkreślać / akcentować,czasownik,B2
employ,zatrudniać,czasownik,A2
employee,pracownik,rzeczownik,A2
employer,pracodawca,rzeczownik,A2
employment,zatrudnienie,rzeczownik,B1
empty,pusty,przymiotnik,A2
empty,opróżniać,czasownik,B1
enable,umożliwiać,czasownik,B2
encounter,napotykać / spotykać,czasownik,B2
encounter,spotkanie / zetknięcie,rzeczownik,B2
encourage,zachęcać,czasownik,B1
end,koniec,rzeczownik,A1
end,kończyć (się),czasownik,A1
ending,zakończenie,rzeczownik,A2
enemy,wróg,rzeczownik,B1
energy,energia,rzeczownik,A2
engage,angażować (się) / zajmować,czasownik,B2
engaged,zaręczony / zajęty,przymiotnik,B1
engine,silnik,rzeczownik,A2
engineer,inżynier,rzeczownik,A2
engineering,inżynieria,rzeczownik,B1
enhance,ulepszać / wzmacniać,czasownik,B2
enjoy,cieszyć się / lubić,czasownik,A1
enormous,ogromny / olbrzymi,przymiotnik,A2
enough,wystarczający,określnik / zaimek,A1
enough,wystarczająco / dość,przysłówek,A1
enquiry,zapytanie / prośba o informację,rzeczownik,B2
ensure,zapewniać / upewniać się,czasownik,B2
enter,wchodzić / wprowadzać,czasownik,A2
entertain,zabawiać / gościć,czasownik,B1
entertainment,rozrywka,rzeczownik,B1
enthusiasm,entuzjazm,rzeczownik,B2
enthusiastic,entuzjastyczny,przymiotnik,B2
entire,cały / całkowity,przymiotnik,B2
entirely,całkowicie / w całości,przysłówek,B2
entrance,wejście,rzeczownik,B1
entry,wejście / wpis / udział,rzeczownik,B1
environment,środowisko,rzeczownik,A2
environmental,środowiskowy,przymiotnik,B1
episode,odcinek / epizod,rzeczownik,B1
equal,równy,przymiotnik,B1
equal,dorównywać,czasownik,B1
equal,osoba równa komuś,rzeczownik,B2
equally,równo / jednakowo,przysłówek,B1
equipment,sprzęt / wyposażenie,rzeczownik,A2
error,błąd,rzeczownik,A2
escape,uciekać,czasownik,B1
escape,ucieczka,rzeczownik,B1
especially,szczególnie / zwłaszcza,przysłówek,A2
essay,wypracowanie / esej,rzeczownik,A2
essential,niezbędny / podstawowy,przymiotnik,B1
establish,ustanawiać / zakładać,czasownik,B2
estate,nieruchomość / majątek,rzeczownik,B2
estimate,szacować / oceniać,czasownik,B2
estimate,szacunek / kosztorys,rzeczownik,B2
ethical,etyczny,przymiotnik,B2
euro,euro,rzeczownik,A1
evaluate,oceniać / poddawać ewaluacji,czasownik,B2
even,nawet,przysłówek,A1
even,równy / parzysty,przymiotnik,B2
evening,wieczór,rzeczownik,A1
event,wydarzenie,rzeczownik,A1
eventually,ostatecznie / w końcu,przysłówek,B1
ever,kiedykolwiek,przysłówek,A1
every,każdy,określnik,A1
everybody,wszyscy / każdy,zaimek,A1
everyday,codzienny,przymiotnik,A2
everyone,wszyscy,zaimek,A1
everything,wszystko,zaimek,A1
everywhere,wszędzie,przysłówek,A2
evidence,dowód / dowody,rzeczownik,A2
evil,zły / nikczemny,przymiotnik,B2
evil,zło,rzeczownik,B2
exact,dokładny / precyzyjny,przymiotnik,A2
exactly,dokładnie,przysłówek,A2
exam,egzamin,rzeczownik,A1
examination,badanie / egzamin,rzeczownik,B2
examine,badać / egzaminować,czasownik,B1
example,przykład,rzeczownik,A1
excellent,doskonały / świetny,przymiotnik,A2
except,oprócz / z wyjątkiem,przyimek,A2
except,wyjąwszy że,spójnik,B1
exchange,wymiana,rzeczownik,B1
exchange,wymieniać,czasownik,B1
excited,podekscytowany,przymiotnik,A1
excitement,ekscytacja / podniecenie,rzeczownik,B1
exciting,ekscytujący,przymiotnik,A1
excuse,wybaczać / usprawiedliwiać,czasownik,B2
excuse,wymówka / usprawiedliwienie,rzeczownik,B2
executive,pracownik na szczeblu kierowniczym / dyrektor,rzeczownik,B2
executive,wykonawczy / kierowniczy,przymiotnik,B2
exercise,ćwiczenie,rzeczownik,A1
exercise,ćwiczyć,czasownik,A1
exhibition,wystawa,rzeczownik,B1
exist,istnieć,czasownik,A2
existence,istnienie / byt,rzeczownik,B2
expand,rozszerzać / rozwijać się,czasownik,B1
expectation,oczekiwanie,rzeczownik,B2
expected,oczekiwany / spodziewany,przymiotnik,B1
expedition,wyprawa / ekspedycja,rzeczownik,B1
expense,wydatek / koszt,rzeczownik,B2
expensive,drogi,przymiotnik,A1
experience,doświadczenie,rzeczownik,A2
experience,doświadczać / przeżywać,czasownik,B1
experienced,doświadczony,przymiotnik,B1
experiment,eksperyment / doświadczenie,rzeczownik,A2
experiment,eksperymentować,czasownik,B1
expert,ekspert / specjalista,rzeczownik,A2
expert,ekspercki / fachowy,przymiotnik,A2
explain,wyjaśniać,czasownik,A1
explanation,wyjaśnienie,rzeczownik,A2
explode,wybuchać,czasownik,B1
exploration,badanie / eksploracja,rzeczownik,B2
explore,badać / zgłębiać,czasownik,B1
explosion,wybuch / eksplozja,rzeczownik,B1
export,eksport,rzeczownik,B1
export,eksportować,czasownik,B1
expose,odsłaniać / eksponować / narażać,czasownik,B2
express,wyrażać,czasownik,A2
expression,wyrażenie / ekspresja,rzeczownik,A2
extend,przedłużać / rozciągać,czasownik,B2
extent,stopień / zakres,rzeczownik,B2
external,zewnętrzny,przymiotnik,B2
extra,dodatkowy,przymiotnik,A1
extra,dodatkowo / ekstra,przysłówek,B1
extra,dodatek / coś ekstra,rzeczownik,B1
extraordinary,nadzwyczajny / niezwykły,przymiotnik,B2
extreme,ekstremalny / skrajny,przymiotnik,A2
extreme,skrajność,rzeczownik,B2
extremely,niezwykle / skrajnie,przysłówek,A2
eye,oko,rzeczownik,A1
face,twarz,rzeczownik,A1
face,stawiać czoła / być zwróconym ku,czasownik,B1
facility,udogodnienie / obiekt / placówka,rzeczownik,B2
fact,fakt,rzeczownik,A1
factor,czynnik,rzeczownik,A2
factory,fabryka,rzeczownik,A2
fail,oblać / nie udać się / zawieść,czasownik,A2
failure,porażka / niepowodzenie,rzeczownik,B2
fair,sprawiedliwy / jasny (o cerze/włosach),przymiotnik,A2
fairly,dość / całkiem / sprawiedliwie,przysłówek,B1
faith,wiara / ufność,rzeczownik,B2
fall,spadać / upadać,czasownik,A1
fall,upadek / jesień (AmE),rzeczownik,A2
false,fałszywy / błędny,przymiotnik,A1
familiar,znajomy / dobrze znany,przymiotnik,B1
family,rodzina,rzeczownik,A1
family,rodzinny,przymiotnik,A1
famous,sławny,przymiotnik,A1
fan,fan / wachlarz / wentylator,rzeczownik,A2
fancy,mieć ochotę na / wyobrażać sobie,czasownik,B1
fancy,luksusowy / wyszukany,przymiotnik,B1
fantastic,fantastyczny,przymiotnik,A1
far,daleko,przysłówek,A1
far,daleki,przymiotnik,B1
farm,gospodarstwo / farma,rzeczownik,A1
farm,uprawiać rolę / hodować,czasownik,A2
farmer,rolnik,rzeczownik,A1
farming,rolnictwo,rzeczownik,A2
fascinating,fascynujący,przymiotnik,B1
fashion,moda,rzeczownik,A2
fashionable,modny,przymiotnik,B1
fast,szybki,przymiotnik,A1
fast,szybko,przysłówek,A1
fasten,zapinać / mocować,czasownik,B1
fat,gruby,przymiotnik,A1
fat,tłuszcz,rzeczownik,A2
father,ojciec,rzeczownik,A1
fault,wina / usterka / błąd,rzeczownik,B2
favour,przysługa / przychylność,rzeczownik,B1
favour,sprzyjać / faworyzować,czasownik,B2
favourite,ulubiony,przymiotnik,A1
favourite,ulubieniec / ulubiona rzecz,rzeczownik,A1
fear,strach / lęk,rzeczownik,A2
fear,bać się,czasownik,B1
feather,pióro,rzeczownik,B2
feature,cecha / funkcja,rzeczownik,A2
feature,zawierać / wyróżniać,czasownik,B1
February,luty,rzeczownik,A1
fee,opłata (np. za szkołę/lekarza),rzeczownik,B2
feed,karmić,czasownik,A2
feed,pasza / jedzenie,rzeczownik,B2
feedback,informacja zwrotna,rzeczownik,B2
feel,czuć / uważać,czasownik,A1
feel,uczucie / dotyk,rzeczownik,B2
feeling,uczucie / przeczucie,rzeczownik,A1
fellow,kolega / współ- (np. pasażer),przymiotnik,B2
female,żeński / kobiecy,przymiotnik,A2
female,kobieta / samica,rzeczownik,A2
fence,płot / ogrodzenie,rzeczownik,B1
festival,festiwal,rzeczownik,A1
few,mało / kilka,określnik / przymiotnik,A1
few,niewielu / kilka osób,zaimek,A1
fiction,fikcja / beletrystyka,rzeczownik,A2
field,pole / dziedzina / boisko,rzeczownik,A2
fifteen,piętnaście,liczebnik,A1
fifth,piąty,liczebnik,A1
fifty,pięćdziesiąt,liczebnik,A1
fight,walczyć,czasownik,A2
fight,walka / kłótnia,rzeczownik,A2
fighting,walka / bójka,rzeczownik,B1
figure,liczba / postać / figura,rzeczownik,A2
figure,liczyć / uznać,czasownik,B2
file,plik / segregator / pilnik,rzeczownik,B1
file,składać (np. dokumenty),czasownik,B2
fill,wypełniać / napełniać,czasownik,A1
film,film,rzeczownik,A1
film,filmować,czasownik,A2
final,końcowy / ostateczny,przymiotnik,A1
final,finał,rzeczownik,A2
finally,w końcu / ostatecznie,przysłówek,A2
finance,finanse,rzeczownik,B2
finance,finansować,czasownik,B2
financial,finansowy,przymiotnik,B1
find,znajdować,czasownik,A1
finding,wynik (badania) / orzeczenie,rzeczownik,B2
fine,dobry / w porządku,przymiotnik,A1
finger,palec,rzeczownik,A2
finish,kończyć,czasownik,A1
finish,koniec / wykończenie,rzeczownik,A2
fire,ogień / pożar,rzeczownik,A1
fire,strzelać / zwalniać z pracy,czasownik,B1
firm,firma / przedsiębiorstwo,rzeczownik,B2
first,pierwszy,określnik / liczebnik,A1
first,najpierw / po raz pierwszy,przysłówek,A1
first,pierwszy (miejsce/osoba),rzeczownik,A2
firstly,po pierwsze,przysłówek,A2
fish,ryba,rzeczownik,A1
fish,łowić ryby,czasownik,A2
fishing,wędkarstwo / rybołówstwo,rzeczownik,A2
fit,pasować / mieścić się,czasownik,A2
fit,sprawny / wysportowany,przymiotnik,A2
fitness,sprawność fizyczna / kondycja,rzeczownik,B1
five,pięć,liczebnik,A1
fix,naprawiać / ustalać,czasownik,A2
fix,trudna sytuacja / dawka,rzeczownik,B2
fixed,stały / niezmienny,przymiotnik,B1
flag,flaga,rzeczownik,B1
flame,płomień,rzeczownik,B2
flash,błysk / lampa błyskowa,rzeczownik,B2
flash,migać / błyskać,czasownik,B2
flat,mieszkanie,rzeczownik,A1
flat,płaski,przymiotnik,A2
flexible,elastyczny,przymiotnik,B2
flight,lot,rzeczownik,A1
float,unosić się na wodzie,czasownik,B2
flood,powódź,rzeczownik,B1
flood,zalewać,czasownik,B1
floor,podłoga / piętro,rzeczownik,A1
flour,mąka,rzeczownik,B1
flow,przepływ / strumień,rzeczownik,B1
flow,płynąć / przepływać,czasownik,B1
flower,kwiat,rzeczownik,A1
flu,grypa,rzeczownik,A2
fly,latać,czasownik,A1
fly,mucha,rzeczownik,A2
flying,latanie,rzeczownik,A2
flying,latający,przymiotnik,A2
focus,skupiać się / koncentrować,czasownik,A2
focus,skupienie / ognisko,rzeczownik,A2
fold,składać / zginać,czasownik,B1
fold,fałda / zgięcie,rzeczownik,B2
folding,składany,przymiotnik,B2
folk,ludowy / tradycyjny,przymiotnik,B1
folk,ludzie,rzeczownik,B1
follow,następować po / iść za,czasownik,A1
following,następujący,przymiotnik,A2
following,następne (rzeczy),rzeczownik,B1
following,po / w następstwie,przyimek,B2
food,jedzenie / żywność,rzeczownik,A1
foot,stopa / stopa (jednostka),rzeczownik,A1
football,piłka nożna,rzeczownik,A1
for,dla / przez (czas),przyimek,A1
force,siła,rzeczownik,B1
force,zmuszać,czasownik,B1
foreign,zagraniczny / obcy,przymiotnik,A2
forest,las,rzeczownik,A2
forever,na zawsze,przysłówek,B1
forget,zapominać,czasownik,A1
